Question No.,L1,L2,L3,L4,Label,Title,Body,Gemini_Pred
42574824,Basic,Basic,Basic,Basic,Basic,How to use NodeJS in Android using J2V8,"I have created code for android using
J2V8
library for executing nodejs script in android mobile. but it gives me error when i run application.
Gradle dependencies
compile 'com.eclipsesource.j2v8:j2v8:4.6.0@aar'
Code
...

@Override
protected void onCreate(Bundle savedInstanceState) {
    super.onCreate(savedInstanceState);
    setContentView(R.layout.activity_console);
    runScript();
}

private void runScript() {
    NodeJS nodeJS = NodeJS.createNodeJS();

    try {
        File script = createTempScript(""console.log(\""Hello NodeJS\"")"");

        nodeJS.exec(script);

        script.delete();
    } catch (Exception e) {
        e.printStackTrace();
    } finally {
        nodeJS.release();
    }

}

private File createTempScript(String script) throws IOException {
    File file = File.createTempFile(""temp"","".js"", getCacheDir());
    FileWriter fileWriter = new FileWriter(file);
    fileWriter.write(script);
    fileWriter.close();
    return file;
}

...
Error
java.lang.RuntimeException: Unable to start activity ComponentInfo{in.asissuthar.lion/in.asissuthar.lion.ConsoleActivity}: java.lang.UnsupportedOperationException:
StartNodeJS Not Supported.
        at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2348)
        at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:2410)
        at android.app.ActivityThread.access$800(ActivityThread.java:151)
        at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1313)
        at android.os.Handler.dispatchMessage(Handler.java:102)
        at android.os.Looper.loop(Looper.java:135)
        at android.app.ActivityThread.main(ActivityThread.java:5345)
        at java.lang.reflect.Method.invoke(Native Method)
        at java.lang.reflect.Method.invoke(Method.java:372)
        at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:947)
        at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:742)
Please Help me to solve this error.
Normal V8 engine works fine but above
createNodeJS
gives error.
V8 v8 = V8.createV8Runtime()",Basic
42590027,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Securing JSON-PATCH paths in Spring Boot Data Rest application,"I'm using a pretty vanilla
spring-boot-starter-data-rest
setup and enabled the
PATCH
method.  All is working, but I have a security concern and wonder what's the recommended way of mitigating it.
The problem is that
PATCH
path
s allow reachable entities to be updated from a different endpoint.  So, suppose I have a
comments
endpoint and an
article
endpoint.  Each comment has a to-one association with its article.  A user that has permission to edit a comment could then do something like this:
PATCH http://some.domain.foo/api/comments/1234
Content-Type: application/json-patch+json

[
    { ""op"": ""replace"", ""path"": ""/article/title"", ""value"": ""foobar2"" }
]
and thereby change the title of the article !!
Clearly this ain't good.
In this case, for other parts of the API the association to the ""article"" needs to be traversable.  But it must be read-only.
So... how do I accomplish this in Spring?
Intercept the request?
Implement a handler method?
Write my own Controller from scratch ?
Thanks!",Intermediate
42722895,Basic,Basic,Basic,Basic,Basic,Java hexadecimal base double literal,"I am studying for java certification. And i'm curious about the java literals.
I know it is possible to do something like this:
int i = 0xAA;
long l = 0xAAL;
Also this is possible for floating-point variables:
double d = 123d;
float f = 123f;
So I logically thought with these examples that the same would apply for hexadecimal.  Just like i can add L for long literals, I could add 'd' or 'f' but the logic is flawed since 'F' and 'D' are valid hexadecimal values.
It is not possible to do something like this:
double d = 0xAAAAAAAAAAAAAAAAAAd;
Is this just not allowed by Java or there is a simple way to do it that I don't know?",Basic
42733364,Advanced,Advanced,Advanced,Intermediate,Advanced,Unexpected OutOfMemoryError when using ObjectInputStream#readUnshared(),"I am running into an OOM when reading a large number of objects from an
ObjectInputStream
with
readUnshared
.
MAT
points at its internal handle table as the culprit, as does the OOM stack trace (at end of this post). By all accounts, this shouldn't be happening. Furthermore, whether or not the OOM occurs appears to depend on how the objects were
written
previously.
According to
this write-up on the topic
,
readUnshared
should solve the issue (as opposed to
readObject
) by not creating handle table entries during read (that write-up is how I discovered
writeUnshared
and
readUnshared
, which I previously had not noticed).
However, it appears from my own observations that
readObject
and
readUnshared
behave identically, and whether the OOM happens or not depends on if the objects were
written
with a
reset()
after each write
(it does
not
matter if
writeObject
vs
writeUnshared
was used, as I previously thought -- I was just tired when I first ran the tests). That is:
writeObject   writeObject+reset   writeUnshared   writeUnshared+reset
readObject
OOM               OK               OOM                 OK
readUnshared
OOM               OK               OOM                 OK
So whether or not
readUnshared
has any effect
actually
seems to be completely dependent on how the object was
written
. This is surprising and unexpected to me. I did spend some time tracing through the
readUnshared
code path
but, and granted it was late and I was tired, it wasn't apparent to me why it would still be using handle space and why it would depend on how the object was written (however, I now have an initial suspect although I have yet to confirm, described below).
From all of my research on the topic so far, it appears
writeObject
with
readUnshared
should
work.
Here is the program I've been testing with:
import java.io.BufferedInputStream;
import java.io.BufferedOutputStream;
import java.io.EOFException;
import java.io.FileInputStream;
import java.io.FileOutputStream;
import java.io.IOException;
import java.io.ObjectInputStream;
import java.io.ObjectOutputStream;
import java.io.Serializable;


public class OOMTest {

    // This is the object we'll be reading and writing.
    static class TestObject implements Serializable {
        private static final long serialVersionUID = 1L;
    }

    static enum WriteMode {
        NORMAL,     // writeObject
        RESET,      // writeObject + reset each time
        UNSHARED,   // writeUnshared
        UNSHARED_RESET // writeUnshared + reset each time
    }

    // Write a bunch of objects.
    static void testWrite (WriteMode mode, String filename, int count) throws IOException {
        ObjectOutputStream out = new ObjectOutputStream(new BufferedOutputStream(new FileOutputStream(filename)));
        out.reset();
        for (int n = 0; n < count; ++ n) {
            if (mode == WriteMode.NORMAL || mode == WriteMode.RESET)
                out.writeObject(new TestObject());
            if (mode == WriteMode.UNSHARED || mode == WriteMode.UNSHARED_RESET)
                out.writeUnshared(new TestObject());
            if (mode == WriteMode.RESET || mode == WriteMode.UNSHARED_RESET)
                out.reset();
            if (n % 1000 == 0)
                System.out.println(mode.toString() + "": "" + n + "" of "" + count);
        }
        out.close();
    }

    static enum ReadMode {
        NORMAL,     // readObject
        UNSHARED    // readUnshared
    }

    // Read all the objects.
    @SuppressWarnings(""unused"")
    static void testRead (ReadMode mode, String filename) throws Exception {
        ObjectInputStream in = new ObjectInputStream(new BufferedInputStream(new FileInputStream(filename)));
        int count = 0;
        while (true) {
            try {
                TestObject o;
                if (mode == ReadMode.NORMAL)
                    o = (TestObject)in.readObject();
                if (mode == ReadMode.UNSHARED)
                    o = (TestObject)in.readUnshared();
                //
                if ((++ count) % 1000 == 0)
                    System.out.println(mode + "" (read): "" + count);
            } catch (EOFException eof) {
                break;
            }
        }
        in.close();
    }

    // Do the test. Comment/uncomment as appropriate.
    public static void main (String[] args) throws Exception {
        /* Note: For writes to succeed, VM heap size must be increased.
        testWrite(WriteMode.NORMAL, ""test-writeObject.dat"", 30_000_000);
        testWrite(WriteMode.RESET, ""test-writeObject-with-reset.dat"", 30_000_000);
        testWrite(WriteMode.UNSHARED, ""test-writeUnshared.dat"", 30_000_000);
        testWrite(WriteMode.UNSHARED_RESET, ""test-writeUnshared-with-reset.dat"", 30_000_000);
        */
        /* Note: For read demonstration of OOM, use default heap size. */
        testRead(ReadMode.UNSHARED, ""test-writeObject.dat""); // Edit this line for different tests.
    }

}
Steps to recreate issue with that program:
Run the test program with the
testWrite
s uncommented (and
testRead
not called) with the heap size set high, so
writeObject
does not lead to OOM.
Run the test program a second time with
testRead
uncommented (and
testWrite
not called) with the default heap size.
To be clear: I'm not doing the writing and reading in the same JVM instance. My writes happen in a separate program from my reads. The test program above may be slightly misleading at first glance due to the fact that I crammed both the write and read tests into the same source.
Unfortunately, the real situation I'm in is I have a file containing a lot of objects written with
writeObject
(without
reset
), which will take quite some time to regenerate (on the order of days) (and also the
reset
makes the output files massive), so I'd like to avoid that if possible. On the other hand, I cannot currently read the file with
readObject
, even with the heap space cranked up to the maximum available on my system.
It's worth noting that in my real situation, I do not need the caching provided by the object stream handle tables.
So my questions are:
All my research so far suggests no connection between
readUnshared
's behavior and how the objects were written. What is going on here?
Is there some way I can avoid the OOM on read, given that the data was written with
writeObject
and no
reset
?
I'm not entirely sure why
readUnshared
is failing to resolve the issue here.
I hope this is clear. I am running on empty here so may have typed strange words.
From
comments
on an answer below:
If you're not calling
writeObject()
in the current instance of the JVM you should not be consuming memory by calling
readUnshared()
.
All my research shows the same, and yet, confusingly:
Here is the OOM stack trace, pointing at
readUnshared
:
Exception in thread ""main"" java.lang.OutOfMemoryError: Java heap space
at java.io.ObjectInputStream$HandleTable.grow(ObjectInputStream.java:3464)
at java.io.ObjectInputStream$HandleTable.assign(ObjectInputStream.java:3271)
at java.io.ObjectInputStream.readOrdinaryObject(ObjectInputStream.java:1789)
at java.io.ObjectInputStream.readObject0(ObjectInputStream.java:1350)
at java.io.ObjectInputStream.readUnshared(ObjectInputStream.java:460)
at OOMTest.testRead(OOMTest.java:40)
at OOMTest.main(OOMTest.java:54)
Here is a
video of it happening
(video recorded before recent test program edit, video is equivalent of
ReadMode.UNSHARED
and
WriteMode.NORMAL
in new test program).
Here are
some test data files
, which contain 30,000,000 objects (compressed size is a tiny 360 KB but be warned it expands to a whopping 2.34 GB). There are four test files here, each generated with various combinations of
writeObject
/
writeUnshared
and
reset
. The read behavior is dependent only on how it was written and independent of
readObject
vs.
readUnshared
. Note that the
writeObject
vs
writeUnshared
data files are byte-for-byte identical, I can't decide if this is surprising or not.
I've been staring at the
ObjectInputStream
code
from here
. My current suspect is
this line
, present in 1.7 and 1.8:
ObjectStreamClass desc = readClassDesc(false);
Where that
boolean
parameter is
true
for unshared and
false
for normal. In all other cases the ""unshared"" flag is propagated through to other calls, but in that case it's hard-coded to
false
, thus causing handles to be added to the handle table when reading class descriptions for serialized objects even when
readUnshared
is used. AFAICT, this is the
only
occurrence of the unshared flag not being passed through to other methods, hence why I am focused on it.
This is in contrast to e.g.
this line
where the unshared flag
is
passed through to
readClassDesc
. (You can trace the call path from
readUnshared
to both of those lines if anybody wishes to dig in.)
However, I have not yet confirmed that any of this is significant, or reasoned why
false
is hard-coded there. This is just the current track I'm taking looking into this, it may prove meaningless.
Also, fwiw,
ObjectInputStream
does have a private method,
clear
, that clears the handle table. I did an experiment where I called that (via reflection) after every read, but it just broke everything, so that's a no-go.",Advanced
42737301,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,How does Jetty deployment on Azure App Service work?,"I have a Java web app that I run on an Azure App Service instance. To deploy it, I use a Bitbucket repo with a .war file inside it. When I commit a new .war file to this repo, it is supposed to be deployed automagically by the service. However, more often than not, I have to either restart, re-deploy, or even upload the .war file via FTP for the deployment to be completed successfully.
I have a single Jetty instance residing in this service, hence my
.war
file is named
ROOT.war
. AFAIK, when uploaded to the service (whether via Bitbucket or FTP), this .war file should be unarchived into the same directory, which is
/site/wwwroot/webapps
. In my case, this doesn't happen. The web app works with the
ROOT.war
file sitting alone inside
/site/wwwroot/webapps
. And every once in a while, I get a
ROOT
folder under
/site/wwwroot/webapps
, with two default files
index.jsp
and
background.png
. I don't have the slightest idea what causes the
ROOT
folder to appear with these default files. The only clue I have is that it happened a couple of times after I changed an environment variable.
Also after the
ROOT
folder appears with the empty server files, the only way I can re-deploy the app is to manually delete this
ROOT
folder via FTP or the console provided in the portal, and only then my re-deploy request succeeds with my web app.
So, if it isn't clear enough, my question is what is going on here? I can't make anything out of the behaviors I'm facing. I feel like I'm using this Azure service blindly, and can't get to fix anything when something goes wrong. Are there any resources that may explain what happens in the background when a web app is deployed?",Intermediate
42748680,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Filtering and sorting using a function in solr,"I have documents that look like this:
{attr_a: 1}, {attr_a: 2, changes_user1_a: 3}
Second document says that user1 made a change that is not yet ""committed"" and not visible to other users.
The fields are dynamic:
<dynamicField name=""changes_*"" type=""string"" indexed=""true"" stored=""true""/>
<dynamicField name=""attr_*"" type=""string"" indexed=""true"" stored=""true""/>
The thing is, user1 needs to do filtering, paging and sorting taking into account his new values, while other users need to do it on the old values.
I was thinking of resolving this problem the following way: if user1 wants to filter and sort by attr_a, I would issue a query like
fq=def(changes_user1_a, attr_a): 'somefilter'&sort=def(changes_user1_a, attr_a) asc
However, this approach generates the following error for fq:
""error"":{
""metadata"":[
  ""error-class"",""org.apache.solr.common.SolrException"",
  ""root-error-class"",""org.apache.solr.parser.ParseException""],
""msg"":""org.apache.solr.search.SyntaxError: Cannot parse 'def(changes_user1_a, attr_a): 3': Encountered \"" \"":\"" \"": \""\"" at line 1, column 28.\r\nWas expecting one of:\r\n    <EOF> \r\n    <AND> ...\r\n    <OR> ...\r\n    <NOT> ...\r\n    \""+\"" ...\r\n    \""-\"" ...\r\n    <BAREOPER> ...\r\n    \""(\"" ...\r\n    \""*\"" ...\r\n    \""^\"" ...\r\n    <QUOTED> ...\r\n    <TERM> ...\r\n    <PREFIXTERM> ...\r\n    <WILDTERM> ...\r\n    <REGEXPTERM> ...\r\n    \""[\"" ...\r\n    \""{\"" ...\r\n    <LPARAMS> ...\r\n    \""filter(\"" ...\r\n    <NUMBER> ...\r\n    "",
""code"":400}
And when sorting only, this one:
error"":{
""trace"":""java.lang.UnsupportedOperationException\r\n\tat org.apache.lucene.queries.function.FunctionValues.doubleVal(FunctionValues.java:47)\r\n\tat org.apache.lucene.queries.function.ValueSource$ValueSourceComparator.copy(ValueSource.java:153)\r\n\tat org.apache.lucene.search.TopFieldCollector$SimpleFieldCollector$1.collect(TopFieldCollector.java:206)\r\n\tat org.apache.lucene.search.MatchAllDocsQuery$1$1.score(MatchAllDocsQuery.java:56)\r\n\tat org.apache.lucene.search.BulkScorer.score(BulkScorer.java:39)\r\n\tat org.apache.lucene.search.IndexSearcher.search(IndexSearcher.java:669)\r\n\tat org.apache.lucene.search.IndexSearcher.search(IndexSearcher.java:473)\r\n\tat org.apache.solr.search.SolrIndexSearcher.buildAndRunCollectorChain(SolrIndexSearcher.java:260)\r\n\tat org.apache.solr.search.SolrIndexSearcher.getDocListNC(SolrIndexSearcher.java:1810)\r\n\tat org.apache.solr.search.SolrIndexSearcher.getDocListC(SolrIndexSearcher.java:1627)\r\n\tat org.apache.solr.search.SolrIndexSearcher.search(SolrIndexSearcher.java:643)\r\n\tat org.apache.solr.handler.component.QueryComponent.process(QueryComponent.java:529)\r\n\tat org.apache.solr.handler.component.SearchHandler.handleRequestBody(SearchHandler.java:293)\r\n\tat org.apache.solr.handler.RequestHandlerBase.handleRequest(RequestHandlerBase.java:156)\r\n\tat org.apache.solr.core.SolrCore.execute(SolrCore.java:2036)\r\n\tat org.apache.solr.servlet.HttpSolrCall.execute(HttpSolrCall.java:657)\r\n\tat org.apache.solr.servlet.HttpSolrCall.call(HttpSolrCall.java:464)\r\n\tat org.apache.solr.servlet.SolrDispatchFilter.doFilter(SolrDispatchFilter.java:257)\r\n\tat org.apache.solr.servlet.SolrDispatchFilter.doFilter(SolrDispatchFilter.java:208)\r\n\tat org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1668)\r\n\tat org.eclipse.jetty.servlet.ServletHandler.doHandle(ServletHandler.java:581)\r\n\tat org.eclipse.jetty.server.handler.ScopedHandler.handle(ScopedHandler.java:143)\r\n\tat org.eclipse.jetty.security.SecurityHandler.handle(SecurityHandler.java:548)\r\n\tat org.eclipse.jetty.server.session.SessionHandler.doHandle(SessionHandler.java:226)\r\n\tat org.eclipse.jetty.server.handler.ContextHandler.doHandle(ContextHandler.java:1160)\r\n\tat org.eclipse.jetty.servlet.ServletHandler.doScope(ServletHandler.java:511)\r\n\tat org.eclipse.jetty.server.session.SessionHandler.doScope(SessionHandler.java:185)\r\n\tat org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:1092)\r\n\tat org.eclipse.jetty.server.handler.ScopedHandler.handle(ScopedHandler.java:141)\r\n\tat org.eclipse.jetty.server.handler.ContextHandlerCollection.handle(ContextHandlerCollection.java:213)\r\n\tat org.eclipse.jetty.server.handler.HandlerCollection.handle(HandlerCollection.java:119)\r\n\tat org.eclipse.jetty.server.handler.HandlerWrapper.handle(HandlerWrapper.java:134)\r\n\tat org.eclipse.jetty.server.Server.handle(Server.java:518)\r\n\tat org.eclipse.jetty.server.HttpChannel.handle(HttpChannel.java:308)\r\n\tat org.eclipse.jetty.server.HttpConnection.onFillable(HttpConnection.java:244)\r\n\tat org.eclipse.jetty.io.AbstractConnection$ReadCallback.succeeded(AbstractConnection.java:273)\r\n\tat org.eclipse.jetty.io.FillInterest.fillable(FillInterest.java:95)\r\n\tat org.eclipse.jetty.io.SelectChannelEndPoint$2.run(SelectChannelEndPoint.java:93)\r\n\tat org.eclipse.jetty.util.thread.strategy.ExecuteProduceConsume.produceAndRun(ExecuteProduceConsume.java:246)\r\n\tat org.eclipse.jetty.util.thread.strategy.ExecuteProduceConsume.run(ExecuteProduceConsume.java:156)\r\n\tat org.eclipse.jetty.util.thread.QueuedThreadPool.runJob(QueuedThreadPool.java:654)\r\n\tat org.eclipse.jetty.util.thread.QueuedThreadPool$3.run(QueuedThreadPool.java:572)\r\n\tat java.lang.Thread.run(Thread.java:745)\r\n"",
""code"":500}
Although
fl=test:def(changes_user1_a, attr_a)
works like I would expect.
So my questions would be:
Am I taking the right approach in solving this problem?
If yes, why can't I sort and filter with the def function?
I am using Solr version 6.1.0
Thanks",Intermediate
42758643,Advanced,Intermediate,Advanced,Intermediate,Intermediate,java.lang.RuntimeException: Unable to resume activity with java.lang.IllegalArgumentException,"Recently I sometimes got this exception when MainActivity called onResume().
java.lang.RuntimeException: Unable to resume activity {com.qau4d.c35s3.androidapp/com.xxx.XXX.XXX.MainActivity}: java.lang.IllegalArgumentException
at android.app.ActivityThread.performResumeActivity(ActivityThread.java:3400)
at android.app.ActivityThread.handleResumeActivity(ActivityThread.java:3440)
at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1510)
at android.os.Handler.dispatchMessage(Handler.java:102)
at android.os.Looper.loop(Looper.java:154)
at android.app.ActivityThread.main(ActivityThread.java:6077)
at java.lang.reflect.Method.invoke(Native Method)
at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:865)
at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:755)
Caused by: java.lang.IllegalArgumentException
at android.os.Parcel.readException(Parcel.java:1687)
at android.os.Parcel.readException(Parcel.java:1636)
at android.app.ActivityManagerProxy.isTopOfTask(ActivityManagerNative.java:5475)
at android.app.Activity.isTopOfTask(Activity.java:5961)
at android.app.Activity.onResume(Activity.java:1252)
at com.qau4d.c35s3.androidapp.onResume(XActivity.java:29)
at com.qau4d.c35s3.androidapp.onResume(MainActivity.java:196)
at android.app.Instrumentation.callActivityOnResume(Instrumentation.java:1269)
at android.app.Activity.performResume(Activity.java:6768)
at android.app.ActivityThread.performResumeActivity(ActivityThread.java:3377)
Both in
MainActivity
and super class
XActivity
, only
super.onResume();
is called. It's really strange to get this exception after a long time normal development.I checked some relative reference material but nothing got.",Intermediate
42784797,Advanced,Advanced,Advanced,Advanced,Advanced,Is there a way to force Google Speech api to return only words as response?,"I am using Googles this api :-
https://www.google.com/speech-api/v2/recognize?output=json&lang=
""+
  language_code+""&key=""My key""
for speech recognition and it's working very well.
The issue is with numbers i.e, if I say
one two three four
the result will be
1234
and if I say
one thousand two hundred thirty four
the result is still
1234
.
Another issue is that with other languages i.e. the word
elf
in German is
eleven
. If you say
elf
the result is
11
, instead of elf.
I know we have no control over the api but is there any parameters or hacks we can add to this api to force it to return only words.
The response some times have the correct result but not always.
These are sample responses
1) When I say ""one two three four""
{""result"":[{""alternative"":[{""transcript"":""1234"",""confidence"":0.47215959},{""transcript"":""1 2 3 4"",""confidence"":0.25},{""transcript"":""one two three four"",""confidence"":0.25},{""transcript"":""1 2 34"",""confidence"":0.33333334},{""transcript"":""1 to 34"",""confidence"":1}],""final"":true}],""result_index"":0}
2) When I say ""one thousand two hundred thirty four""
{""result"":[{""alternative"":[{""transcript"":""1234"",""confidence"":0.94247383},{""transcript"":""1.254"",""confidence"":1},{""transcript"":""1284"",""confidence"":1},{""transcript"":""1244"",""confidence"":1},{""transcript"":""1230 4"",""confidence"":1}],""final"":true}],""result_index"":0}
What I have done.
Check if the result is a number, Then split each number by space and check if there is same sequence in the result array. In this e.g.  Result 1234 becomes 1 2 3 4  and will search if there is a similar sequence in the result array and then convert it to words.In  2nd case there is no 1 2 3 4 so will stick with the original result.
This is the code.
String numberPattern = ""[0-9]"";
  Pattern r1 = Pattern.compile(numberPattern);
  Matcher m2 = r1.matcher(output);
  if (m2.find()) {
      char[] digits2 = output.toCharArray();
      String digit = """";
      for (char c: digits2) {
          digit += c + "" "";
      }

      for (int i = 1; i < jsonArray2.length(); i++) {
          String value = jsonArray2.getJSONObject(i).getString(""transcript"");
          if (digit.trim().equals(value.trim())) {
              output = digit + "" "";
          }
      }
  }
So the issue is when I ""say thirteen four eight"" this method will split 13 as one three and hence not a reliable solution.
Update
I tried the new cloud vision api (
https://cloud.google.com/speech/
) and it's little better than the v2. The result for
one two three four
is in words itself for which my workaround is working as well. But when I say
thirteen four eight
it's still the same result as in v2.
And also elf is still 11 in German.
Also tried
speech_context
that also didn't worked.",Advanced
42824821,Basic,Basic,Basic,Basic,Basic,Strange behavior with string interning in Java,"There is code as following:
String s = new String(""1"");
s.intern();
String s2 = ""1"";
System.out.println(s == s2);

String s3 = new String(""1"")+new String(""1"");
s3.intern();
String s4 = ""11"";
System.out.println(s3 == s4);
Output of the code above is:
false
true
I know that
s
and
s2
are different objects, so the result evaluates to  false, but the second result evaluates to true. Can anyone tell me the difference?",Advanced
42871564,Intermediate,Intermediate,Intermediate,Basic,Intermediate,A realistic example where using BigDecimal for currency is strictly better than using double,"We
know
that using
double
for currency is error-prone and not recommended. However, I'm yet to see a
realistic
example, where
BigDecimal
works while
double
fails and can't be simply fixed by some rounding.
Note that trivial problems
double total = 0.0;
for (int i = 0; i < 10; i++) total += 0.1;
for (int i = 0; i < 10; i++) total -= 0.1;
assertTrue(total == 0.0);
don't count as they're trivially solved by rounding (in this example anything from zero to sixteen decimal places would do).
Computations involving summing big values may need some intermediate rouding, but given the
total currency in circulation
being
USD 1e12
, Java
double
(i.e., the standard
IEEE double precision
) with its 15 decimal digits is still sufficient event for cents.
Computations involving division are in general imprecise even with
BigDecimal
. I can construct a computation which can't be performed with
double
s, but can be performed with
BigDecimal
using a scale of 100, but it's not something you can encounter in reality.
I don't claim that such a
realistic
example does not exist, it's just that I haven't seen it yet.
I also surely agree, that using
double
is more error-prone.
Example
What I'm looking for is a method like the following (based on the answer by Roland Illig)
/** 
  * Given an input which has three decimal places,
  * round it to two decimal places using HALF_EVEN.
*/
BigDecimal roundToTwoPlaces(BigDecimal n) {
    // To make sure, that the input has three decimal places.
    checkArgument(n.scale() == 3);
    return n.round(new MathContext(2, RoundingMode.HALF_EVEN));
}
together with a test like
public void testRoundToTwoPlaces() {
    final BigDecimal n = new BigDecimal(""0.615"");
    final BigDecimal expected = new BigDecimal(""0.62"");
    final BigDecimal actual = roundToTwoPlaces(n);
    Assert.assertEquals(expected, actual);
}
When this gets naively rewritten using
double
, then the test could fail (it doesn't for the given input, but it does for others). However, it can be done correctly:
static double roundToTwoPlaces(double n) {
    final long m = Math.round(1000.0 * n);
    final double x = 0.1 * m;
    final long r = (long) Math.rint(x);
    return r / 100.0;
}
It's ugly and error-prone (and can probably be simplified), but it can be easily encapsulated somewhere. That's why I'm looking for more answers.",Intermediate
42923895,Basic,Basic,Basic,Basic,Basic,How does integer type cast behave in Java for numbers beyond the range of integers?,"Here is my program.
public class Foo
{
    public static void main(String[] args)
    {
        System.out.println((int) 2147483648l);
        System.out.println((int) 2147483648f);
    }
}
Here is the output.
-2147483648
2147483647
Why isn't
2147483648l
and
2147483648f
type cast to the same integer? Can you explain what is going on here or what concept in Java I need to understand to predict the output of type casts like these?",Basic
42941016,Advanced,Advanced,Advanced,Advanced,Advanced,Translate Python function to apply mask to image into Java,"I'm trying to translate the following Python function, that applies a mask to an image, into Java:
# Applies an image mask.
def region_of_interest(img, vertices):
    #defining a blank mask to start with
    mask = np.zeros_like(img)   

    #defining a 3 channel or 1 channel color to fill the mask with depending on the input image
    if len(img.shape) > 2:
        channel_count = img.shape[2]  # i.e. 3 or 4 depending on your image
        ignore_mask_color = (255,) * channel_count
    else:
        ignore_mask_color = 255

    #filling pixels inside the polygon defined by ""vertices"" with the fill color    
    cv2.fillPoly(mask, vertices, ignore_mask_color)

    #returning the image only where mask pixels are nonzero
    masked_image = cv2.bitwise_and(img, mask)
    return masked_image
So far, this is what I've got:
public static opencv_core.Mat applyMask(opencv_core.Mat image, opencv_core.MatVector vertices) {
  opencv_core.Mat mask = opencv_core.Mat.zeros(image.size(), opencv_core.CV_8U).asMat();

  opencv_core.Scalar color = new opencv_core.Scalar(image.channels()); // 3
  double[] colors = new double[] {
    255.0, 255.0, 255.0, 255.0,
    255.0, 255.0, 255.0, 255.0,
    255.0, 255.0, 255.0, 255.0};
  color.put(colors, 0, colors.length);

  opencv_imgproc.fillPoly(mask, vertices, color);

  opencv_core.Mat dst = new opencv_core.Mat();
  opencv_core.bitwise_and(image, mask, dst);
  return dst;
}
But, it isn't working. When I try invoking this method like in the following example:
opencv_core.MatVector points = new opencv_core.MatVector(
  new opencv_core.Mat(2, 3, opencv_core.CV_32F, new IntPointer(1, 2, 3, 4, 5, 6))
);

opencv_core.MatVector vertices = new opencv_core.MatVector(points);
opencv_core.Mat masked = LaneManager.applyMask(src, vertices);
(I'm assuming this is the right way to build a 2x3 matrix of three points with two coordinates each
(1,2)
,
(3, 4)
and
(5,6)
)
I get an exception:
java.lang.RuntimeException: std::bad_alloc
at org.bytedeco.javacpp.opencv_imgproc.fillPoly(Native Method)
I'm using OpenCV as provided by
org.bytedeco.javacpp-presets:opencv-platform:3.2.0-1.3
via Maven Central.
I must admit that I'm at a loss here: What's the idiomatic Java way of doing the same thing as the Python function above?",Advanced
