,Pred,Question No.,Question No.,L1,L2,L3,L4,Label,Title,Body,User_Reputation,Bronze_badge,Gold_badge,Silver_badge,Accept_rate,User Id,Accepted Answer ID,View Count,Answer Count,Score,Tags,Interval from first,Interval from accepted,Total count urls and imgs,Processed Body,Code Final,LOC,Question_Length
47,Basic,1447407,203984,Basic,Basic,Basic,Basic,Basic,How do I remove repeated elements from ArrayList?,"I have an
ArrayList<String>
, and I want to remove repeated strings from it. How can I do this?",5981,12,4,21,38,25778,203992,1014231,40,581,"[""java"", ""list"", ""collections"", ""arraylist"", ""duplicates""]",361,361,0,"I have an , and I want to remove repeated strings from it. How can I do this?","
   ArrayList&lt;String&gt;
  ",1,9
48,Basic,1456566,205689,Intermediate,Basic,Intermediate,Intermediate,Intermediate,Class with single method -- best approach?,"Say I have a class that's meant to perform a single function. After performing the function, it can be destroyed. Is there any reason to prefer one of these approaches?
// Initialize arguments in constructor
MyClass myObject = new MyClass(arg1, arg2, arg3);
myObject.myMethod();

// Pass arguments to method
MyClass myObject = new MyClass();
myObject.myMethod(arg1, arg2, arg3);

// Pass arguments to static method
MyClass.myMethod(arg1, arg2, arg3);
I was being intentionally vague about the details, to try to get guidelines for different situations. But I didn't really have in mind simple library functions like Math.random(). I'm thinking more of classes that perform some specific, complex task, but only require one (public) method to do it.",51155,148,39,117,46,4321,206481,97922,15,187,"[""c#"", ""java"", ""oop"", ""static-methods""]",180,12104,0,"Say I have a class that's meant to perform a single function. After performing the function, it can be destroyed. Is there any reason to prefer one of these approaches? I was being intentionally vague about the details, to try to get guidelines for different situations. But I didn't really have in mind simple library functions like Math.random(). I'm thinking more of classes that perform some specific, complex task, but only require one (public) method to do it.","// Initialize arguments in constructor
MyClass myObject = new MyClass(arg1, arg2, arg3);
myObject.myMethod();

// Pass arguments to method
MyClass myObject = new MyClass();
myObject.myMethod(arg1, arg2, arg3);

// Pass arguments to static method
MyClass.myMethod(arg1, arg2, arg3);
",9,19
49,Basic,1463597,215497,Basic,Basic,Basic,Basic,Basic,"What is the difference between public, protected, package-private and private in Java?","In Java, are there clear rules on when to use each of access modifiers, namely the default (package private),
public
,
protected
and
private
, while making
class
and
interface
and dealing with inheritance?",38487,22,4,24,100,625,215505,2598798,32,3683,"[""java"", ""private"", ""public"", ""protected"", ""access-modifiers""]",278,278,0,"In Java, are there clear rules on when to use each of access modifiers, namely the default (package private), , and , while making and and dealing with inheritance?","
   public
   
   protected
   
   private
   
   class
   
   interface
  ",5,25
50,Intermediate,1479442,218744,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Good reasons to prohibit inheritance in Java?,"What are good reasons to prohibit inheritance in Java, for example by using final classes or classes using a single, private parameterless constructor? What are good reasons of making a method final?",20004,73,19,59,94,18722,218761,70896,11,206,"[""java"", ""inheritance"", ""final""]",305,349,0,"What are good reasons to prohibit inheritance in Java, for example by using final classes or classes using a single, private parameterless constructor? What are good reasons of making a method final?",,0,5
51,Intermediate,1490869,237159,Basic,Basic,Intermediate,Basic,Basic,What&#39;s the best way to check if a String represents an integer in Java?,"I normally use the following idiom to check if a String can be converted to an integer.
public boolean isInteger( String input ) {
    try {
        Integer.parseInt( input );
        return true;
    }
    catch( Exception e ) {
        return false;
    }
}
Is it just me, or does this seem a bit hackish?  What's a better way?
See my answer (with benchmarks, based on the
earlier answer
by
CodingWithSpike
) to see why I've reversed my position and accepted
Jonas Klemming's answer
to this problem.  I think this original code will be used by most people because it's quicker to implement, and more maintainable, but it's orders of magnitude slower when non-integer data is provided.",401491,884,210,569,93,1288,237204,255050,40,252,"[""java"", ""string"", ""int""]",263,2037,3,"I normally use the following idiom to check if a String can be converted to an integer. Is it just me, or does this seem a bit hackish? What's a better way? See my answer (with benchmarks, based on the earlier answer by CodingWithSpike ) to see why I've reversed my position and accepted Jonas Klemming's answer to this problem. I think this original code will be used by most people because it's quicker to implement, and more maintainable, but it's orders of magnitude slower when non-integer data is provided.","public boolean isInteger( String input ) {
    try {
        Integer.parseInt( input );
        return true;
    }
    catch( Exception e ) {
        return false;
    }
}
",8,34
52,Intermediate,1537116,240546,Basic,Basic,Basic,Basic,Basic,Remove HTML tags from a String,"Is there a good way to remove HTML from a Java string? A simple regex like
replaceAll(""\\<.*?>"", """")
will work, but some things like
&amp;
won't be converted correctly and non-HTML between the two angle brackets will be removed (i.e. the
.*?
in the regex will disappear).",8817,34,10,34,77,8973,3149645,573380,35,489,"[""java"", ""html"", ""regex"", ""parsing""]",1264,52778719,0,"Is there a good way to remove HTML from a Java string? A simple regex like will work, but some things like won't be converted correctly and non-HTML between the two angle brackets will be removed (i.e. the in the regex will disappear).","replaceAll(""\\&lt;.*?&gt;"", """") 
 
   &amp;amp;
   
   .*?
  ",2,18
53,Intermediate,1552301,247059,Basic,Basic,Basic,Basic,Basic,Is there a Newline constant defined in Java like Environment.Newline in C#?,"In C# there is the static property
Environment.Newline
that changed depending on the running platform.
Is there anything similar in Java?",13344,73,14,64,56,20480,247069,143372,3,229,"[""java""]",117,117,1,In C# there is the static property Environment.Newline that changed depending on the running platform. Is there anything similar in Java?,,0,12
54,Intermediate,1555262,248562,Advanced,Intermediate,Intermediate,Basic,Intermediate,"When using Spring Security, what is the proper way to obtain current username (i.e. SecurityContext) information in a bean?","I have a Spring MVC web app which uses Spring Security.  I want to know the username of the currently logged in user.  I'm using the code snippet given below .  Is this the accepted way?
I don't like having a call to a static method inside this controller - that defeats the whole purpose of Spring, IMHO.  Is there a way to configure the app to have the current SecurityContext, or current Authentication, injected instead?
@RequestMapping(method = RequestMethod.GET)
  public ModelAndView showResults(final HttpServletRequest request...) {
    final String currentUser = SecurityContextHolder.getContext().getAuthentication().getName();
    ...
  }",10739,36,5,34,100,2495576,5351828,184755,17,305,"[""java"", ""spring"", ""spring-mvc"", ""spring-security""]",91122,75133472,0,"I have a Spring MVC web app which uses Spring Security. I want to know the username of the currently logged in user. I'm using the code snippet given below . Is this the accepted way? I don't like having a call to a static method inside this controller - that defeats the whole purpose of Spring, IMHO. Is there a way to configure the app to have the current SecurityContext, or current Authentication, injected instead?","  @RequestMapping(method = RequestMethod.GET)
  public ModelAndView showResults(final HttpServletRequest request...) {
    final String currentUser = SecurityContextHolder.getContext().getAuthentication().getName();
    ...
  }
",4,14
55,Intermediate,1568091,262816,Intermediate,Basic ,Intermediate,Basic ,Intermediate,When would you call java&#39;s thread.run() instead of thread.start()?,"When would you call Java's
thread.run()
instead of
thread.start()
?",18020,159,20,107,88,1348,262840,75302,14,111,"[""java"", ""multithreading"", ""concurrency""]",118,331,0,When would you call Java's instead of ?,"
   thread.run()
   
   thread.start()
  ",2,13
56,Intermediate,1594667,271526,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,How do I avoid checking for nulls in Java?,"I use
x != null
to avoid
NullPointerException
. Is there an alternative?
if (x != null) {
    // ...
}",3817,14,4,22,,34856,271874,1433469,69,4412,"[""java"", ""nullpointerexception"", ""null""]",1124,12900,1,I use to avoid . Is there an alternative?,"
   x != null
   
    NullPointerException
    if (x != null) {
    // ...
}
",4,19
57,Basic,1625234,272535,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,How do I &quot;decompile&quot; Java class files?,"Closed.
This question is seeking recommendations for software libraries, tutorials, tools, books, or other off-site resources. It does not meet
Stack Overflow guidelines
. It is not currently accepting answers.
We don’t allow questions seeking recommendations for software libraries, tutorials, tools, books, or other off-site resources. You can edit the question so it can be answered with facts and citations.
Closed
8 years ago
.
Locked
. This question and its answers are
locked
because the question is off-topic but has historical significance. It is not currently accepting new answers or interactions.
What program can I use to decompile a class file? Will I actually get Java code, or is it just JVM assembly code?
On Java performance questions on this site I often see responses from people who have ""decompiled"" the Java class file to see how the compiler optimizes certain things.",108122,265,87,234,92,18511,272595,953588,19,556,"[""java"", ""decompiler""]",172,1125,4,"Closed. This question is seeking recommendations for software libraries, tutorials, tools, books, or other off-site resources. It does not meet Stack Overflow guidelines . It is not currently accepting answers. We don’t allow questions seeking recommendations for software libraries, tutorials, tools, books, or other off-site resources. You can edit the question so it can be answered with facts and citations. Closed 8 years ago . Locked . This question and its answers are locked because the question is off-topic but has historical significance. It is not currently accepting new answers or interactions. What program can I use to decompile a class file? Will I actually get Java code, or is it just JVM assembly code? On Java performance questions on this site I often see responses from people who have ""decompiled"" the Java class file to see how the compiler optimizes certain things.",,0,83
58,Intermediate,1667278,275944,Basic,Basic,Basic,Basic,Basic,How do I count the number of occurrences of a char in a String?,"I have the string
a.b.c.d
I want to count the occurrences of '.' in an idiomatic way, preferably a one-liner.
(Previously I had expressed this constraint as ""without a loop"", in case you're wondering why everyone's trying to answer without using a loop).",10953,23,7,29,,4343,1816989,1017126,48,626,"[""java"", ""string""]",1871,33293758,0,"I have the string I want to count the occurrences of '.' in an idiomatic way, preferably a one-liner. (Previously I had expressed this constraint as ""without a loop"", in case you're wondering why everyone's trying to answer without using a loop).","a.b.c.d
",0,13
59,Intermediate,1673841,277044,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Do I need to store the salt with bcrypt?,"bCrypt's javadoc
has this code for how to encrypt a password:
String pw_hash = BCrypt.hashpw(plain_password, BCrypt.gensalt());
To check whether a plaintext password matches one that has been hashed previously, use the checkpw method:
if (BCrypt.checkpw(candidate_password, stored_hash))
    System.out.println(""It matches"");
else
    System.out.println(""It does not match"");
These code snippets imply to me that the randomly generated salt is thrown away. Is this the case, or is this just a misleading code snippet?",13568,56,13,53,81,943,277057,42403,1,208,"[""java"", ""encryption"", ""passwords"", ""salt"", ""bcrypt""]",1109,1109,1,"bCrypt's javadoc has this code for how to encrypt a password: To check whether a plaintext password matches one that has been hashed previously, use the checkpw method: These code snippets imply to me that the randomly generated salt is thrown away. Is this the case, or is this just a misleading code snippet?","String pw_hash = BCrypt.hashpw(plain_password, BCrypt.gensalt()); 
 if (BCrypt.checkpw(candidate_password, stored_hash))
    System.out.println(""It matches"");
else
    System.out.println(""It does not match"");
",3,21
60,Intermediate,1689242,281132,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Java volatile reference vs. AtomicReference,"Is there any difference between a
volatile
Object reference and
AtomicReference
in case I would just use
get()
and
set()
-methods from
AtomicReference
?",13257,88,13,66,31,4110,281163,50554,6,154,"[""java"", ""concurrency""]",759,759,0,Is there any difference between a Object reference and in case I would just use and -methods from ?,"
   volatile
   
   AtomicReference
   
   get()
   
   set()
   
   AtomicReference
  ",5,25
61,Intermediate,1706493,285793,Basic,Basic,Intermediate ,Intermediate ,Basic,What is a serialVersionUID and why should I use it?,"Eclipse issues warnings when a
serialVersionUID
is missing.
The serializable class Foo does not declare a static final
  serialVersionUID field of type long
What is
serialVersionUID
and why is it important?  Please show an example where missing
serialVersionUID
will cause a problem.",80638,84,26,72,81,33203,285809,1156069,26,3425,"[""java"", ""serialization"", ""serialversionuid""]",319,319,0,Eclipse issues warnings when a is missing. The serializable class Foo does not declare a static final serialVersionUID field of type long What is and why is it important? Please show an example where missing will cause a problem.,"
   serialVersionUID
   
   serialVersionUID
   
   serialVersionUID
  ",3,26
62,Intermediate,1771679,289434,Advanced,Intermediate,Advanced,Intermediate,Intermediate,How to make a Java thread wait for another thread&#39;s output?,"I'm making a Java application with an application-logic-thread and a database-access-thread.
Both of them persist for the entire lifetime of the application and both need to be running at the same time (one talks to the server, one talks to the user; when the app is fully started, I need
both
of them to work).
However, on startup, I need to make sure that initially the app thread waits until the db thread is ready (currently determined by polling a custom method
dbthread.isReady()
).
I wouldn't mind if app thread blocks until the db thread was ready.
Thread.join()
doesn't look like a solution - the db thread only exits at app shutdown.
while (!dbthread.isReady()) {}
kind of works, but the empty loop consumes a lot of processor cycles.
Any other ideas? Thanks.",91951,224,46,178,91,19746,289463,307950,13,137,"[""java"", ""multithreading""]",996,1626,0,"I'm making a Java application with an application-logic-thread and a database-access-thread. Both of them persist for the entire lifetime of the application and both need to be running at the same time (one talks to the server, one talks to the user; when the app is fully started, I need both of them to work). However, on startup, I need to make sure that initially the app thread waits until the db thread is ready (currently determined by polling a custom method ). I wouldn't mind if app thread blocks until the db thread was ready. doesn't look like a solution - the db thread only exits at app shutdown. kind of works, but the empty loop consumes a lot of processor cycles. Any other ideas? Thanks.","
   dbthread.isReady()
   
   Thread.join()
   
   while (!dbthread.isReady()) {}
  ",3,33
63,Intermediate,1802123,291003,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,differences between 2 JUnit Assert classes,"The JUnit framework contains 2
Assert
classes (in different packages, obviously) and the methods on each appear to be very similar. Can anybody explain why this is?
The classes I'm referring to are:
junit.framework.Assert
and
org.junit.Assert
.",185537,832,175,577,52,2648,291045,40847,6,267,"[""java"", ""unit-testing"", ""junit"", ""junit4"", ""assert""]",667,903,2,"The JUnit framework contains 2 classes (in different packages, obviously) and the methods on each appear to be very similar. Can anybody explain why this is? The classes I'm referring to are: and .","
   Assert
   
    junit.framework.Assert
    
    org.junit.Assert
   ",3,24
64,Intermediate,1813881,295579,Intermediate,Basic ,Intermediate,Basic ,Intermediate,Fastest way to determine if an integer&#39;s square root is an integer,"I'm looking for the fastest way to determine if a
long
value is a perfect square (i.e. its square root is another integer):
I've done it the easy way, by using the built-in
Math.sqrt()
function, but I'm wondering if there is a way to do it faster by
restricting yourself to integer-only domain.
Maintaining a lookup table is impractical (since there are about
2
31.5
integers whose square is less than 2
63
).
Here is the very simple and straightforward way I'm doing it now:
public final static boolean isPerfectSquare(long n)
{
  if (n < 0)
    return false;

  long tst = (long)(Math.sqrt(n) + 0.5);
  return tst*tst == n;
}
Note: I'm using this function in many
Project Euler
problems.  So no one else will ever have to maintain this code.  And this kind of micro-optimization could actually make a difference, since part of the challenge is to do every algorithm in less than a minute, and this function will need to be called millions of times in some problems.
I've tried the different solutions to the problem:
After exhaustive testing, I found that adding
0.5
to the result of Math.sqrt() is not necessary, at least not on my machine.
The
fast inverse square root
was faster, but it gave incorrect results for n >= 410881.  However, as suggested by
BobbyShaftoe
, we can use the FISR hack for n < 410881.
Newton's method was a good bit slower than
Math.sqrt()
.  This is probably because
Math.sqrt()
uses something similar to Newton's Method, but implemented in the hardware so it's much faster than in Java.  Also, Newton's Method still required use of doubles.
A modified Newton's method, which used a few tricks so that only integer math was involved, required some hacks to avoid overflow (I want this function to work with all positive 64-bit signed integers), and it was still slower than
Math.sqrt()
.
Binary chop was even slower.  This makes sense because the binary chop will on average require 16 passes to find the square root of a 64-bit number.
According to John's tests, using
or
statements is faster in C++ than using a
switch
, but in Java and C# there appears to be no difference between
or
and
switch
.
I also tried making a lookup table (as a private static array of 64 boolean values).  Then instead of either switch or
or
statement, I would just say
if(lookup[(int)(n&0x3F)]) { test } else return false;
.  To my surprise, this was (just slightly) slower. This is because
array bounds are checked in Java
.",108122,265,87,234,92,18511,424936,328672,37,1609,"[""java"", ""math"", ""optimization"", ""perfect-square""]",308,4502961,5,"I'm looking for the fastest way to determine if a value is a perfect square (i.e. its square root is another integer): I've done it the easy way, by using the built-in function, but I'm wondering if there is a way to do it faster by restricting yourself to integer-only domain. Maintaining a lookup table is impractical (since there are about 2 31.5 integers whose square is less than 2 63 ). Here is the very simple and straightforward way I'm doing it now: Note: I'm using this function in many Project Euler problems. So no one else will ever have to maintain this code. And this kind of micro-optimization could actually make a difference, since part of the challenge is to do every algorithm in less than a minute, and this function will need to be called millions of times in some problems. I've tried the different solutions to the problem: After exhaustive testing, I found that adding to the result of Math.sqrt() is not necessary, at least not on my machine. The fast inverse square root was faster, but it gave incorrect results for n &gt;= 410881. However, as suggested by BobbyShaftoe , we can use the FISR hack for n &lt; 410881. Newton's method was a good bit slower than . This is probably because uses something similar to Newton's Method, but implemented in the hardware so it's much faster than in Java. Also, Newton's Method still required use of doubles. A modified Newton's method, which used a few tricks so that only integer math was involved, required some hacks to avoid overflow (I want this function to work with all positive 64-bit signed integers), and it was still slower than . Binary chop was even slower. This makes sense because the binary chop will on average require 16 passes to find the square root of a 64-bit number. According to John's tests, using statements is faster in C++ than using a , but in Java and C# there appears to be no difference between and . I also tried making a lookup table (as a private static array of 64 boolean values). Then instead of either switch or statement, I would just say . To my surprise, this was (just slightly) slower. This is because array bounds are checked in Java .","
   long
   
     Math.sqrt()
     public final static boolean isPerfectSquare(long n)
{
  if (n &lt; 0)
    return false;

  long tst = (long)(Math.sqrt(n) + 0.5);
  return tst*tst == n;
}
 
    0.5
    
    Math.sqrt()
    
    Math.sqrt()
    
    Math.sqrt()
    
    or
    
    switch
    
    or
    
    switch
    
    or
    
    if(lookup[(int)(n&amp;0x3F)]) { test } else return false;
   ",19,133
65,Basic,1829904,297586,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,How to call a SOAP web service on Android,"Closed.
This question is seeking recommendations for software libraries, tutorials, tools, books, or other off-site resources. It does not meet
Stack Overflow guidelines
. It is not currently accepting answers.
We don’t allow questions seeking recommendations for software libraries, tutorials, tools, books, or other off-site resources. You can edit the question so it can be answered with facts and citations.
Closed
6 years ago
.
Improve this question
I am having a lot of trouble finding good information on how to call a standard SOAP/WSDL web service with Android. All I've been able to find are either very convoluted documents and references to ""kSoap2"" and then some bit about parsing it all manually with
SAX
. OK, that's fine, but it's 2008, so I figured there should be some good library for calling standard web services.
The web service is just basically one created in
NetBeans
. I would like to have IDE support for generating the plumbing classes. I just need the easiest/most-elegant way to contact a
WSDL
based web service from an Android-based phone.",28443,74,7,53,,38426,303500,434728,25,569,"[""java"", ""android"", ""web-services"", ""soap"", ""wsdl""]",58617,159494,5,"Closed. This question is seeking recommendations for software libraries, tutorials, tools, books, or other off-site resources. It does not meet Stack Overflow guidelines . It is not currently accepting answers. We don’t allow questions seeking recommendations for software libraries, tutorials, tools, books, or other off-site resources. You can edit the question so it can be answered with facts and citations. Closed 6 years ago . Improve this question I am having a lot of trouble finding good information on how to call a standard SOAP/WSDL web service with Android. All I've been able to find are either very convoluted documents and references to ""kSoap2"" and then some bit about parsing it all manually with SAX . OK, that's fine, but it's 2008, so I figured there should be some good library for calling standard web services. The web service is just basically one created in NetBeans . I would like to have IDE support for generating the plumbing classes. I just need the easiest/most-elegant way to contact a WSDL based web service from an Android-based phone.",,0,74
66,Intermediate,1833252,299304,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Why does Java&#39;s hashCode() in String use 31 as a multiplier?,"Per the Java documentation, the
hash code
for a
String
object is computed as:
s[0]*31^(n-1) + s[1]*31^(n-2) + ... + s[n-1]
using
int
arithmetic, where
s[i]
is the
i
th character of the string,
n
is the length of
   the string, and
^
indicates exponentiation.
Why is 31 used as a multiplier?
I understand that the multiplier should be a relatively large prime number. So why not 29, or 37, or even 97?",8850,36,7,32,100,1318,299748,184193,13,583,"[""java"", ""string"", ""algorithm"", ""hash""]",1100,8021,1,"Per the Java documentation, the hash code for a object is computed as: using arithmetic, where is the i th character of the string, is the length of the string, and indicates exponentiation. Why is 31 used as a multiplier? I understand that the multiplier should be a relatively large prime number. So why not 29, or 37, or even 97?","
   String
   s[0]*31^(n-1) + s[1]*31^(n-2) + ... + s[n-1]
 
    int
    
    s[i]
    
    n
    
    ^
   ",5,47
67,Basic,1835683,299659,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,What&#39;s the difference between SoftReference and WeakReference in Java?,"What's the difference between
java.lang.ref.WeakReference
and
java.lang.ref.SoftReference
?",11523,10,4,20,,24982,299702,255483,12,913,"[""java"", ""reference"", ""weak-references"", ""soft-references""]",25,652,2,What's the difference between and ?,"
    java.lang.ref.WeakReference
    
    java.lang.ref.SoftReference
   ",2,17
68,Basic,1844688,304268,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Getting a File&#39;s MD5 Checksum in Java,"I am looking to use Java to get the MD5 checksum of a file.  I was really surprised but I haven't been able to find anything that shows how to get the MD5 checksum of a file.
How is it done?",20923,48,12,49,100,24998,304350,512566,22,573,"[""java"", ""md5"", ""checksum""]",183,3629,0,I am looking to use Java to get the MD5 checksum of a file. I was really surprised but I haven't been able to find anything that shows how to get the MD5 checksum of a file. How is it done?,,0,8
69,Intermediate,1892765,306713,Intermediate,Basic,Basic,Basic,Basic,Collections.emptyList() returns a List&lt;Object&gt;?,"I'm having some trouble navigating Java's rule for inferring generic type parameters. Consider the following class, which has an optional list parameter:
import java.util.Collections;
import java.util.List;

public class Person {
  private String name;
  private List<String> nicknames;
  
  public Person(String name) {
    this(name, Collections.emptyList());
  }
  
  public Person(String name, List<String> nicknames) {
    this.name = name;
    this.nicknames = nicknames;
  }
}
My Java compiler gives the following error:
Person.java:9: The constructor Person(String, List<Object>) is undefined
But
Collections.emptyList()
returns type
<T> List<T>
, not
List<Object>
. Adding a cast doesn't help
public Person(String name) {
  this(name,(List<String>)Collections.emptyList());
}
yields
Person.java:9: inconvertible types
Using
EMPTY_LIST
instead of
emptyList()
public Person(String name) {
  this(name, Collections.EMPTY_LIST);
}
yields
Person.java:9: warning: [unchecked] unchecked conversion
Whereas the following change makes the error go away:
public Person(String name) {
  this.name = name;
  this.nicknames = Collections.emptyList();
}
Can anyone explain what type-checking rule I'm running up against here, and the best way to work around it? In this example, the final code example is satisfactory, but with larger classes, I'd like to be able to write methods following this ""optional parameter"" pattern without duplicating code.
For extra credit: when is it appropriate to use
EMPTY_LIST
as opposed to
emptyList()
?",55591,155,43,130,60,1412,306773,227405,4,287,"[""java"", ""generics"", ""type-inference""]",457,1033,0,"I'm having some trouble navigating Java's rule for inferring generic type parameters. Consider the following class, which has an optional list parameter: My Java compiler gives the following error: But returns type , not . Adding a cast doesn't help yields Using instead of yields Whereas the following change makes the error go away: Can anyone explain what type-checking rule I'm running up against here, and the best way to work around it? In this example, the final code example is satisfactory, but with larger classes, I'd like to be able to write methods following this ""optional parameter"" pattern without duplicating code. For extra credit: when is it appropriate to use as opposed to ?","import java.util.Collections;
import java.util.List;

public class Person {
  private String name;
  private List&lt;String&gt; nicknames;
  
  public Person(String name) {
    this(name, Collections.emptyList());
  }
  
  public Person(String name, List&lt;String&gt; nicknames) {
    this.name = name;
    this.nicknames = nicknames;
  }
}
 Person.java:9: The constructor Person(String, List&lt;Object&gt;) is undefined
 
   Collections.emptyList()
   
   &lt;T&gt; List&lt;T&gt;
   
   List&lt;Object&gt;
   public Person(String name) {
  this(name,(List&lt;String&gt;)Collections.emptyList());
}
 Person.java:9: inconvertible types
 
   EMPTY_LIST
   
   emptyList()
   public Person(String name) {
  this(name, Collections.EMPTY_LIST);
}
 Person.java:9: warning: [unchecked] unchecked conversion
 public Person(String name) {
  this.name = name;
  this.nicknames = Collections.emptyList();
}
 
   EMPTY_LIST
   
   emptyList()
  ",29,92
70,Intermediate,2015972,308683,Basic,Basic,Basic,Basic,Basic,How can I get the current date and time in UTC or GMT in Java?,"Want to improve this post?
Provide detailed answers to this question, including citations and an explanation of why your answer is correct. Answers without enough detail may be edited or deleted.
When I create a new
Date
object, it is initialized to the current time but in the local timezone. How can I get the current date and time in GMT?",9959,19,6,25,100,19888,308689,1228671,34,590,"[""java"", ""date"", ""localization"", ""timezone"", ""gmt""]",136,136,1,"Want to improve this post? Provide detailed answers to this question, including citations and an explanation of why your answer is correct. Answers without enough detail may be edited or deleted. When I create a new object, it is initialized to the current time but in the local timezone. How can I get the current date and time in GMT?","
   Date
  ",1,33
71,Basic,2095397,309396,Intermediate,Basic ,Intermediate,Basic ,Intermediate,How to test methods that call System.exit()?,"I've got a few methods that should call
System.exit()
on certain inputs. Unfortunately, testing these cases causes JUnit to terminate! Putting the method calls in a new Thread doesn't seem to help, since
System.exit()
terminates the JVM, not just the current thread. Are there any common patterns for dealing with this? For example, can I substitute a stub for
System.exit()
?
The class in question is actually a command-line tool which I'm attempting to test inside JUnit. Maybe JUnit is simply not the right tool for the job? Suggestions for complementary regression testing tools are welcome (preferably something that integrates well with JUnit and EclEmma).",55591,155,43,130,60,1412,309427,128646,19,237,"[""java"", ""multithreading"", ""unit-testing"", ""junit"", ""testability""]",369,564,0,"I've got a few methods that should call on certain inputs. Unfortunately, testing these cases causes JUnit to terminate! Putting the method calls in a new Thread doesn't seem to help, since terminates the JVM, not just the current thread. Are there any common patterns for dealing with this? For example, can I substitute a stub for ? The class in question is actually a command-line tool which I'm attempting to test inside JUnit. Maybe JUnit is simply not the right tool for the job? Suggestions for complementary regression testing tools are welcome (preferably something that integrates well with JUnit and EclEmma).","
   System.exit()
   
   System.exit()
   
   System.exit()
  ",3,20
72,Advanced,2114212,309424,Basic,Basic,Basic,Basic,Basic,How do I read / convert an InputStream into a String in Java?,"If you have a
java.io.InputStream
object, how should you process that object and produce a
String
?
Suppose I have an
InputStream
that contains text data, and I want to convert it to a
String
, so for example I can write that to a log file.
What is the easiest way to take the
InputStream
and convert it to a
String
?
public String convertStreamToString(InputStream is) {
// ???
}",48081,18,5,22,100,16616,309448,2669032,66,4718,"[""java"", ""string"", ""io"", ""stream"", ""inputstream""]",400,400,0,"If you have a object, how should you process that object and produce a ? Suppose I have an that contains text data, and I want to convert it to a , so for example I can write that to a log file. What is the easiest way to take the and convert it to a ?","
   java.io.InputStream
   
   String
   
   InputStream
   
   String
   
   InputStream
   
   String
   public String convertStreamToString(InputStream is) {
// ???
}
",8,40
73,Intermediate,2129044,320542,Basic,Basic,Basic,Basic,Basic,How to get the path of a running JAR file?,"Want to improve this post?
Provide detailed answers to this question, including citations and an explanation of why your answer is correct. Answers without enough detail may be edited or deleted.
My code runs inside a JAR file, say
foo.jar
, and I need to know, in the code, in which folder the running
foo.jar
is.
So, if
foo.jar
is in
C:\FOO\
, I want to get that path no matter what my current working directory is.",9338,25,5,29,100,16873,320595,622655,33,648,"[""java"", ""path"", ""jar"", ""executable-jar""]",233,1165,1,"Want to improve this post? Provide detailed answers to this question, including citations and an explanation of why your answer is correct. Answers without enough detail may be edited or deleted. My code runs inside a JAR file, say foo.jar , and I need to know, in the code, in which folder the running foo.jar is. So, if foo.jar is in , I want to get that path no matter what my current working directory is.","
   C:\FOO\
  ",1,48
74,Basic,2137755,322715,Basic,Basic,Basic,Basic,Basic,When to use LinkedList over ArrayList in Java?,"I've always been one to simply use:
List<String> names = new ArrayList<>();
I use the interface as the type name for
portability
, so that when I ask questions such as this, I can rework my code.
When should
LinkedList
be used over
ArrayList
and vice-versa?",39408,24,9,26,73,41200,322742,1378809,34,3612,"[""java"", ""arraylist"", ""collections"", ""linked-list""]",204,787,2,"I've always been one to simply use: I use the interface as the type name for portability , so that when I ask questions such as this, I can rework my code. When should be used over and vice-versa?","List&lt;String&gt; names = new ArrayList&lt;&gt;();
 
    LinkedList
    
    ArrayList
   ",2,29
75,Intermediate,2154622,326390,Intermediate,Basic,Intermediate,Basic,Intermediate,How do I create a Java string from the contents of a file?,"I've been using the idiom below for some time now. And it seems to be the most wide-spread, at least on the sites I've visited.
Is there a better/different way to read a file into a string in Java?
private String readFile(String file) throws IOException {
    BufferedReader reader = new BufferedReader(new FileReader (file));
    String line = null;
    StringBuilder stringBuilder = new StringBuilder();
    String ls = System.getProperty(""line.separator"");

    try {
        while((line = reader.readLine()) != null) {
            stringBuilder.append(line);
            stringBuilder.append(ls);
        }

        return stringBuilder.toString();
    } finally {
        reader.close();
    }
}",197425,570,116,393,80,20654,326440,1700264,35,1772,"[""java"", ""string"", ""file"", ""file-io"", ""io""]",749,1446,0,"I've been using the idiom below for some time now. And it seems to be the most wide-spread, at least on the sites I've visited. Is there a better/different way to read a file into a string in Java?","private String readFile(String file) throws IOException {
    BufferedReader reader = new BufferedReader(new FileReader (file));
    String line = null;
    StringBuilder stringBuilder = new StringBuilder();
    String ls = System.getProperty(""line.separator"");

    try {
        while((line = reader.readLine()) != null) {
            stringBuilder.append(line);
            stringBuilder.append(ls);
        }

        return stringBuilder.toString();
    } finally {
        reader.close();
    }
}
",16,26
